ecoregion,scientific_name,common_name,class,conservation_status,habitat_type,image_url,attribution,description
Coral Triangle,Whale shark,Whale shark,CHONDRICHTHYES,EN,Pelagic marine waters,https://upload.wikimedia.org/wikipedia/commons/f/f6/Similan_Dive_Center_-_great_whale_shark.jpg,Wikimedia Commons,"The whale shark is a slow-moving, filter-feeding carpet shark and the largest known extant fish species. The largest confirmed individual had a length of 18.8 m (61.7 ft). The whale shark holds many records for size in the animal kingdom, most notably being by far the most massive living non-cetacean animal. It is the only living species of the genus Rhincodon and the only extant member of the family Rhincodontidae, which belongs to the subclass Elasmobranchii in the class Chondrichthyes. Before 1984 it was classified as Rhiniodon into Rhinodontidae. An extinct species, Rhincodon ferriolensis was describried in Europe, in Late Burdigalian stage."
Coral Triangle,Green sea turtle,Green sea turtle,REPTILIA,EN,Seagrass meadows and reefs,https://upload.wikimedia.org/wikipedia/commons/a/a3/Green_sea_turtle_%28Chelonia_mydas%29_Moorea.jpg,Wikimedia Commons,"The green sea turtle, also known as the green turtle, black (sea) turtle or Pacific green turtle, is a species of large sea turtle of the family Cheloniidae. It is the only species in the genus Chelonia. Its range extends throughout tropical and subtropical seas around the world, with two distinct populations in the Atlantic and Pacific Oceans, but it is also found in the Indian Ocean. The common name refers to the usually green fat found beneath its carapace, due to its diet strictly being seagrass, not to the color of its carapace, which is olive to black."
Coral Triangle,Hawksbill sea turtle,Hawksbill sea turtle,REPTILIA,CR,Coral reef habitats,https://upload.wikimedia.org/wikipedia/commons/b/b0/Eretmochelys-imbricata-K%C3%A9lonia-2.JPG,Wikimedia Commons,The hawksbill sea turtle is a critically endangered sea turtle belonging to the family Cheloniidae. It is the only extant species in the genus Eretmochelys. The species has a global distribution that is largely limited to tropical and subtropical marine and estuary ecosystems.
Coral Triangle,Leatherback sea turtle,Leatherback sea turtle,REPTILIA,EN,Open ocean,https://upload.wikimedia.org/wikipedia/commons/f/fc/Leatherback_sea_turtle_Tinglar%2C_USVI_%285839996547%29.jpg,Wikimedia Commons,"The leatherback sea turtle, sometimes called the lute turtle, leathery turtle or simply the luth, is the largest of all living turtles and the heaviest non-crocodilian reptile, reaching lengths of up to 2.7 metres and weights of 500 kilograms (1,100 lb). It is the only living species in the genus Dermochelys and family Dermochelyidae. It can easily be differentiated from other modern sea turtles by its lack of a bony shell; instead, its carapace is covered by oily flesh and flexible, leather-like skin, for which it is named. Leatherback turtles have a global range, although there are multiple distinct subpopulations. The species as a whole is considered vulnerable, and some of its subpopulations are critically endangered."
Coral Triangle,Olive ridley sea turtle,Olive ridley sea turtle,REPTILIA,LC,Tropical marine waters,https://upload.wikimedia.org/wikipedia/commons/b/b5/Lepidochelys-olivacea-K%C3%A9lonia-1.JPG,Wikimedia Commons,"The olive ridley sea turtle, also known commonly as the Pacific ridley sea turtle, is a species of turtle in the family Cheloniidae. The species is the second-smallest and most abundant of all sea turtles found in the world. L. olivacea is found in warm and tropical waters, primarily in the Pacific and Indian Oceans, but also in the warm waters of the Atlantic Ocean."
Coral Triangle,Giant oceanic manta ray,Giant oceanic manta ray,CHONDRICHTHYES,NT,Open ocean and reefs,https://upload.wikimedia.org/wikipedia/commons/d/df/Manta_birostris-Thailand4.jpg,Wikimedia Commons,"The giant oceanic manta ray, giant manta ray, or oceanic manta ray is a species of ray in the family Mobulidae and the largest type of ray in the world. It is circumglobal and is typically found in tropical and subtropical waters but can also be found in temperate waters. Until 2017, the species was classified in the genus Manta, along with the smaller reef manta ray. DNA testing revealed that both species are more closely related to rays of the genus Mobula than previously thought. As a result, the giant manta was renamed Mobula birostris to reflect the new classification."
Coral Triangle,Reef manta ray,Reef manta ray,CHONDRICHTHYES,NT,Coastal reef slopes,https://upload.wikimedia.org/wikipedia/commons/3/30/Dharavandhoo_Thila_-_Manata_Black_Pearl.JPG,Wikimedia Commons,"The reef manta ray is a species of ray in the family Mobulidae, one of the largest rays in the world. Among generally recognized species, it is the third-largest species of ray, surpassed by the Giant oceanic manta ray and the Atlantic manta ray."
Coral Triangle,Dugong,Dugong,MAMMALIA,VU,Seagrass meadows,https://upload.wikimedia.org/wikipedia/commons/4/42/Dugong.JPG,Wikimedia Commons,"The dugong is a marine mammal. It is one of four living species of the order Sirenia, which also includes three species of manatees. It is the only living representative of the once-diverse family Dugongidae; its closest modern relative, Steller's sea cow, was hunted to extinction in the 18th century."
Coral Triangle,Spinner dolphin,Spinner dolphin,MAMMALIA,LC,Coastal tropical waters,https://upload.wikimedia.org/wikipedia/commons/6/64/A_spinner_dolphin_in_the_Red_Sea.jpg,Wikimedia Commons,The spinner dolphin is a small dolphin found in off-shore tropical waters around the world. It is famous for its acrobatic displays in which it rotates around its longitudinal axis as it leaps through the air. It is a member of the family Delphinidae of toothed whales.
Coral Triangle,Indo-Pacific bottlenose dolphin,Indo-Pacific bottlenose dolphin,MAMMALIA,LC,Coastal waters,https://upload.wikimedia.org/wikipedia/commons/8/87/Tursiops_aduncus%2C_Port_River%2C_Adelaide%2C_Australia_-_2003.jpg,Wikimedia Commons,"The Indo-Pacific bottlenose dolphin is a species of bottlenose dolphin. This dolphin grows to 2.6 m (8.5 ft) long, and weighs up to 230 kg (510 lb). It lives in the waters around India, northern Australia, South China, the Red Sea, and the eastern coast of Africa. Its back is dark grey and its belly is lighter grey or nearly white with grey spots."
