ecoregion_name,scientific_name,common_name,class,conservation_status,image_url,image_attribution,description,habitat_type
Coral Triangle,Chelonia mydas,Green Sea Turtle,REPTILIA,EN,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Green_turtle_swimming_over_coral_reefs_in_Kona.jpg/1280px-Green_turtle_swimming_over_coral_reefs_in_Kona.jpg,Wikimedia Commons,Large sea turtle found throughout tropical and subtropical oceans,marine
Coral Triangle,Manta birostris,Giant Manta Ray,CHONDRICHTHYES,EN,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Manta_birostris-Thailand4.jpg/1280px-Manta_birostris-Thailand4.jpg,Wikimedia Commons,Largest ray species with wingspan up to 7 meters,marine
Coral Triangle,Rhincodon typus,Whale Shark,CHONDRICHTHYES,EN,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Whale_shark_Georgia_aquarium.jpg/1280px-Whale_shark_Georgia_aquarium.jpg,Wikimedia Commons,Largest fish species reaching lengths up to 18 meters,marine
Coral Triangle,Syngnathoides biaculeatus,Alligator Pipefish,ACTINOPTERYGII,LC,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Alligator_pipefish.jpg/1280px-Alligator_pipefish.jpg,Wikimedia Commons,Unique pipefish resembling an alligator found in coral reefs,marine
Coral Triangle,Hippocampus comes,Tiger Tail Seahorse,ACTINOPTERYGII,VU,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Hippocampus_comes.jpg/800px-Hippocampus_comes.jpg,Wikimedia Commons,Distinctive seahorse with yellow and black striped tail,marine
Coral Triangle,Acanthurus lineatus,Lined Surgeonfish,ACTINOPTERYGII,LC,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Acanthurus_lineatus_by_Irene_Jacobson.jpg/1280px-Acanthurus_lineatus_by_Irene_Jacobson.jpg,Wikimedia Commons,Colorful reef fish with distinctive blue and yellow stripes,marine
Coral Triangle,Amphiprion ocellaris,Clownfish,ACTINOPTERYGII,LC,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Amphiprion_ocellaris_%28Clown_anemonefish%29_by_Nick_Hobgood.jpg/1280px-Amphiprion_ocellaris_%28Clown_anemonefish%29_by_Nick_Hobgood.jpg,Wikimedia Commons,Orange fish with white bands living in sea anemones,marine
Coral Triangle,Pterois volitans,Red Lionfish,ACTINOPTERYGII,LC,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Pterois_volitans_Manado-e_edit.jpg/1280px-Pterois_volitans_Manado-e_edit.jpg,Wikimedia Commons,Venomous fish with striking red and white stripes,marine
Borneo,Pongo pygmaeus,Bornean Orangutan,MAMMALIA,CR,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Orang_Utan%2C_Semenggok_Forest_Reserve%2C_Sarawak%2C_Borneo%2C_Malaysia.JPG/1280px-Orang_Utan%2C_Semenggok_Forest_Reserve%2C_Sarawak%2C_Borneo%2C_Malaysia.JPG,Wikimedia Commons,Great ape native to Borneo with reddish-brown fur,terrestrial
Borneo,Nasalis larvatus,Proboscis Monkey,MAMMALIA,EN,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Proboscis_monkey_%28Nasalis_larvatus%29_male_head.jpg/1280px-Proboscis_monkey_%28Nasalis_larvatus%29_male_head.jpg,Wikimedia Commons,Monkey with distinctive large nose found only in Borneo,terrestrial
